bread,,,,,,,,,,
bread,pastry,bread,,,,,,,,
hearty & seasonal,hearty & seasonal,coffee,coffee,,,,,,,
bread,hearty & seasonal,coffee,mineral water,,,,,,,
coffee,tartine,sandwich,brownie,,,,,,,
coffee,brownie,,,,,,,,,
alfajores,coffee,tartine,,,,,,,,
mighty protein,coffee,,,,,,,,,
coffee,hot chocolate,,,,,,,,,
soup,jam,coffee,coffee,,,,,,,
mineral water,brownie,,,,,,,,,
scandinavian,coffee,,,,,,,,,
scandinavian,coffee,,,,,,,,,
coffee,coffee,,,,,,,,,
coffee,coffee,hot chocolate,brownie,hearty & seasonal,,,,,,
tea,cake,,,,,,,,,
medialuna,,,,,,,,,,
alfajores,tea,coffee,,,,,,,,
coffee,juice,brownie,alfajores,,,,,,,
coffee,sandwich,,,,,,,,,
